LONG,LAT,C(km3),V2,RSR
-101.432292,47.50613,30.22,1.091923164,0.029
120.539544,23.24779,0.7075,0.898705189,0.88
105.223366,32.758655,0.521,0.254780711,2.68
-83.534322,35.96336,1.9008,0.460556241,0.0984
-80.88598845,37.63903528,0.7783,0.346007821,0.051956907
-84.467653,35.038787,0.017643698,0.088532875,2.4459
-79.439583,41.47183,0.222,0.532671918,0.0256
-4.800641,36.944874,0.1354,0.769232087,0.1344
-96.090323,36.350468,1.1,2.315809189,0.035
-111.40263,40.787922,0.0751,0.725690414,0.2
122.16711,42.684094,0.193,1.00902514,0.05
-100.666806,20.052083,1.217,0.96736724,1.9512
-1.599291,38.221439,0.0216,0.832195621,0.69
-96.36841,35.031088,0.0192,1.790072045,0.4398
-3.880208,41.335417,0.0145,0.431364424,0.41
-5.209026,37.903617,0.347,1.4602815,0.0279
-97.069211,35.35662,0.0233,1.971958889,0.2168
22.451927,49.39355,0.474,1.081477294,0.01
-84.22825247,37.53811713,0.0008,0.759303413,0.060930859
-79.945571,35.995736,0.0144,0.487164248,0.7046
-80.235565,35.602704,0.354,0.262973696,0.36
-117.7731695,34.15649436,0.0019,0.558720804,1.149556921
-97.257416,43.038773,0.0038,0.488475522,0.483742105
-81.005308,41.043055,0.1727,0.750409045,0.3556
-94.17438,30.799546,0.3779,0.255481495,0.1474
-83.219675,39.620314,0.1265,0.692565592,0.0226
18.710261,51.85521,0.2028,0.403801311,0.02
-0.664616,42.111159,0.1816,1.823394644,0.12
-85.226742,35.102025,0.9094,0.148847739,0.0531
-106.769792,45.13061,0.185,0.963896208,0.4506
-79.368247,39.796654,0.37,0.750503848,0.0779
-0.35625,38.813516,0.0295,0.754551563,0.0341
-116.997745,48.178294,1.4247,0.24286282,0.634
-81.277152,40.523591,0.0613,0.895859419,0.039
-122.530468,39.585442,0.0621,0.410918769,0.1082
107.190232,34.533709,0.39,1.081252734,0.85
-118.0221518,34.17094112,0.0001,0.138211014,2.595016193
20.67979,49.808871,0.012,0.071874429,0.52
111.343487,34.831554,9.64,0.475679869,0.6268
-81.192405,40.472917,0.0461,1.268832327,0.6122
-1.599291,38.221439,0.0216,0.832195621,0.6932
-4.252123,39.369436,0.185,1.856533469,0.01
-83.92361,39.387982,0.0308,0.702682133,0.3093
37.806537,-0.809533,0.016,0.07260367,1.45
-78.294784,36.59626,4.1488,0.704559706,0.2793
-106.548993,35.394321,0.3265,2.390337323,0.4451
-117.640916,33.891276,0.0028,0.048429957,0.2011
-78.593127,41.560781,0.127,1.044826621,0.0536
-82.372917,40.745247,0.1085,0.775692317,0.0863
-84.646551,35.094393,0.1027,0.265082144,0.3591
-82.606719,40.701311,0.0327,1.101898616,0.2465
-86.914583,39.486722,0.2814,0.937017669,0.0697
19.208843,49.746524,0.1027,0.488462808,0.17
-5.014571,39.377091,1.64,1.165448135,0.1959
-86.987236,33.572007,0.0175,0.387218571,0.8057
9.545999,37.058462,0.0117,1.02664027,0.63
-114.735006,36.018191,36.7,1.408406357,0.2816
-104.688235,35.02896,0.8844,3.393685405,0.2184
-95.557174,33.85427,0.5647,1.981850061,0.114
103.723295,25.596421,0.1,1.109490958,0.06
-84.401757,41.237799,0.0121,0.081884231,0.7554
-1.149671,10.87019,0.0765,0.901780391,0.46
-84.090625,34.955905,0.215,0.623378209,0.0526
-120.271021,37.586276,1.4802,1.126442066,0.0595
-1.036672,39.241079,0.011,0.103972976,1.5876
-96.072954,32.181646,1.3383,1.404177574,0.625
-83.79203,35.016806,0.2967,0.926848502,0.0323
108.052405,34.540895,0.13,1.001004959,0.71
145.927083,-37.21875,3.4,1.522339914,0.0435
-75.486017,41.698626,0.021,0.634702074,0.61
-1.207101,40.363312,0.022,0.656019169,0.11
-2.260219,38.189636,0.01,0.580191344,0.8889
-82.372917,40.745247,0.1085,0.775692317,0.086265872
26.861375,-29.906141,0.0397,0.285800148,1.9053
-80.690625,38.661883,0.3272,0.54764191,0.0322
76.435869,31.411296,9.621,0.645700432,0.26
105.686735,37.326471,0.3,1.584092113,0.52
-77.90795768,42.73355028,0.5033,0.558833863,0.067915583
-2.913749,38.364625,0.3465,1.654472801,0.0011
-95.61181,43.621135,0.0133,1.801153975,0.2702
-69.037062,-34.583584,0.432,0.619412739,0.75
-91.531121,41.727526,0.5689,0.518722044,0.2544
100.648745,25.693068,0.1,0.886492217,0.09
-89.792634,34.407344,0.1332,0.200486274,0.063587008
-98.415803,30.757588,1.2113,1.057663958,0.4221
-106.853706,42.46391,1.2538,0.734325674,0.0933
-118.0426149,34.17642799,0.0001,0.305391706,2.471178217
-116.546415,32.686213,0.0619,1.669766299,0.3056
-110.444834,40.191264,0.2331,1.122048923,0.0701
-96.969792,33.069896,2.5691,1.820264212,0.127
-4.800641,36.944874,0.1354,0.769232087,0.13
-81.329489,41.18036,0.0225,0.307326115,0.2018
-108.177221,43.414157,0.6783,0.616354176,0.1707
-88.792326,32.474874,0.0734,0.559731241,1.482
-4.086249,39.797405,0.0181,1.08896345,0.1808
-76.542814,39.431961,0.1134,0.530940639,0.1727
-117.126268,33.0464,0.0465,0.690674895,0.3078
147.032716,-36.108092,3.038,0.899034043,0.4436
-81.228204,36.132374,0.3774,0.840878611,0.0551
103.270487,26.346947,0.6,1.3145547,0.1
-79.06867,35.656806,2.031,1.343919229,0.416
-1.819964,37.735134,0.0295,0.891117678,0.0428
-95.16706138,35.61627196,0.0392,0.806720413,0.2896
-93.965625,33.694799,2.288,0.70010241,0.604
-0.35625,38.813516,0.0295,0.754551563,0.03
-119.321848,36.831978,1.2335,0.957044199,0.0238
-92.953499,34.656319,0.0199,1.337013776,0.0302
-0.664616,42.111159,0.1816,1.823394644,0.1208
-85.621457,35.801042,0.0619,0.215090317,0.194
-89.76874,33.814591,3.3577,1.098492755,0.1101
-82.434375,36.438918,0.2386,0.281284753,0.138
-97.966322,38.609095,0.5341,1.130107736,0.1528
-96.176961,46.218549,0.0254,0.218082569,0.053629463
-104.551042,48.786864,0.0082,1.887305444,1.2539
-104.252072,32.494288,0.0247,0.297979414,0.522304141
-87.380231,34.806299,1.3186,0.152349291,0.2554
-1.099011,39.728128,0.2213,1.281806938,0.0517
104.310066,30.434844,0.0144,1.252654919,0.2
-97.455208,32.651213,0.5057,1.810690996,0.15
-80.53969605,39.05625637,0.0009,0.652650312,0.778979529
35.3397,37.03999,1.2,0.554593001,0.64
17.151005,50.46136,0.1245,0.433944251,0.11
-88.247429,35.069376,1.363,0.148204438,0.0939
-97.869086,28.047561,0.655,0.801421092,0.6381
34.389948,11.797669,7.4,0.23289278,2.66
-98.594866,45.534508,0.0244,1.622250604,0.2816
-118.018561,34.18396896,0.0002,0.205620336,2.595016193
-0.064632,35.277014,0.073,0.932511295,1.6827
